monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_id
0,0,0,0,0,0,1,20240721,20240728,910
0,0,0,0,0,0,1,20240721,20240810,313
0,0,0,0,0,0,1,20240721,20240811,230
0,0,0,0,0,0,1,20240721,20240811,263
0,0,0,0,0,0,1,20240721,20240811,389
0,0,0,0,0,0,1,20240721,20240818,247
0,0,0,0,0,0,1,20240721,20240818,374
0,0,0,0,0,0,1,20240721,20240818,471
0,0,0,0,0,0,1,20240721,20240820,905
0,0,0,0,0,0,1,20240725,20240728,836
0,0,0,0,0,0,1,20240725,20240818,565
0,0,0,0,0,0,1,20240726,20240805,108
0,0,0,0,0,0,1,20240728,20240811,5
0,0,0,0,0,0,1,20240728,20240811,553
0,0,0,0,0,0,1,20240728,20240811,949
0,0,0,0,0,0,1,20240728,20240811,954
0,0,0,0,0,0,1,20240728,20240818,595
0,0,0,0,0,0,1,20240804,20240811,917
0,0,0,0,0,0,1,20240804,20240818,407
0,0,0,0,0,0,1,20240804,20240818,793
0,0,0,0,0,0,1,20240811,20240818,251
0,0,0,0,0,1,0,20240721,20240728,754
0,0,0,0,0,1,0,20240721,20240810,491
0,0,0,0,0,1,0,20240721,20240817,776
0,0,0,0,0,1,0,20240726,20240817,819
0,0,0,0,0,1,0,20240727,20240804,938
0,0,0,0,0,1,0,20240727,20240808,857
0,0,0,0,0,1,0,20240727,20240810,447
0,0,0,0,0,1,0,20240727,20240817,720
0,0,0,0,0,1,0,20240727,20240820,287
0,0,0,0,0,1,0,20240728,20240810,914
0,0,0,0,0,1,0,20240803,20240811,504
0,0,0,0,0,1,0,20240803,20240817,827
0,0,0,0,0,1,0,20240810,20240817,842
0,0,0,0,0,1,0,20240810,20240820,779
0,0,0,0,0,1,1,20240721,20240727,492
0,0,0,0,0,1,1,20240721,20240728,211
0,0,0,0,0,1,1,20240721,20240804,195
0,0,0,0,0,1,1,20240721,20240804,231
0,0,0,0,0,1,1,20240721,20240811,106
0,0,0,0,0,1,1,20240721,20240811,96
0,0,0,0,0,1,1,20240721,20240818,288
0,0,0,0,0,1,1,20240721,20240818,331
0,0,0,0,0,1,1,20240721,20240818,44
0,0,0,0,0,1,1,20240721,20240818,631
0,0,0,0,0,1,1,20240727,20240804,309
0,0,0,0,0,1,1,20240727,20240811,127
0,0,0,0,0,1,1,20240727,20240811,318
0,0,0,0,0,1,1,20240727,20240811,761
0,0,0,0,0,1,1,20240727,20240815,300
0,0,0,0,0,1,1,20240727,20240817,314
0,0,0,0,0,1,1,20240727,20240818,132
0,0,0,0,0,1,1,20240727,20240818,649
0,0,0,0,0,1,1,20240727,20240818,743
0,0,0,0,0,1,1,20240727,20240818,928
0,0,0,0,0,1,1,20240728,20240803,429
0,0,0,0,0,1,1,20240801,20240811,258
0,0,0,0,0,1,1,20240801,20240818,524
0,0,0,0,0,1,1,20240803,20240810,430
0,0,0,0,0,1,1,20240804,20240811,772
0,0,0,0,0,1,1,20240810,20240811,14
0,0,0,0,0,1,1,20240810,20240818,1
0,0,0,0,0,1,1,20240817,20240818,586
0,0,0,0,1,0,0,20240721,20240726,277
0,0,0,0,1,0,0,20240721,20240802,163
0,0,0,0,1,0,0,20240721,20240816,600
0,0,0,0,1,0,0,20240726,20240809,282
0,0,0,0,1,0,0,20240726,20240816,261
0,0,0,0,1,0,0,20240726,20240816,668
0,0,0,0,1,0,0,20240802,20240809,794
0,0,0,0,1,0,0,20240802,20240816,271
0,0,0,0,1,0,0,20240809,20240816,228
0,0,0,0,1,0,1,20240721,20240726,682
0,0,0,0,1,0,1,20240721,20240729,97
0,0,0,0,1,0,1,20240721,20240811,655
0,0,0,0,1,0,1,20240721,20240811,745
0,0,0,0,1,0,1,20240721,20240811,820
0,0,0,0,1,0,1,20240721,20240816,60
0,0,0,0,1,0,1,20240721,20240818,435
0,0,0,0,1,0,1,20240726,20240728,498
0,0,0,0,1,0,1,20240728,20240804,202
0,0,0,0,1,0,1,20240728,20240811,43
0,0,0,0,1,0,1,20240802,20240804,702
0,0,0,0,1,0,1,20240802,20240818,708
0,0,0,0,1,0,1,20240804,20240809,252
0,0,0,0,1,0,1,20240804,20240818,554
0,0,0,0,1,0,1,20240809,20240811,283
0,0,0,0,1,0,1,20240811,20240816,753
0,0,0,0,1,0,1,20240816,20240818,361
0,0,0,0,1,1,0,20240726,20240810,930
0,0,0,0,1,1,0,20240727,20240817,646
0,0,0,0,1,1,0,20240801,20240809,947
0,0,0,0,1,1,0,20240802,20240803,164
0,0,0,0,1,1,0,20240802,20240803,441
0,0,0,0,1,1,0,20240802,20240817,746
0,0,0,0,1,1,0,20240809,20240810,245
0,0,0,0,1,1,0,20240810,20240816,847
0,0,0,0,1,1,0,20240810,20240817,151
0,0,0,0,1,1,0,20240816,20240817,156
0,0,0,0,1,1,0,20240816,20240817,343
0,0,0,0,1,1,1,20240721,20240728,546
0,0,0,0,1,1,1,20240721,20240818,348
0,0,0,0,1,1,1,20240726,20240728,706
0,0,0,0,1,1,1,20240727,20240807,802
0,0,0,0,1,1,1,20240801,20240811,199
0,0,0,0,1,1,1,20240801,20240811,650
0,0,0,0,1,1,1,20240802,20240804,419
0,0,0,0,1,1,1,20240804,20240811,623
0,0,0,0,1,1,1,20240809,20240817,56
0,0,0,0,1,1,1,20240809,20240818,510
0,0,0,0,1,1,1,20240809,20240818,6
0,0,0,0,1,1,1,20240809,20240818,903
0,0,0,0,1,1,1,20240810,20240816,737
0,0,0,0,1,1,1,20240810,20240817,375
0,0,0,0,1,1,1,20240816,20240818,712
0,0,0,1,0,0,0,20240801,20240811,129
0,0,0,1,0,0,0,20240808,20240815,695
0,0,0,1,0,0,1,20240725,20240728,714
0,0,0,1,0,0,1,20240728,20240801,911
0,0,0,1,0,0,1,20240728,20240804,82
0,0,0,1,0,0,1,20240801,20240804,203
0,0,0,1,0,0,1,20240804,20240808,724
0,0,0,1,0,0,1,20240811,20240818,332
0,0,0,1,0,0,1,20240815,20240818,829
0,0,0,1,0,1,0,20240725,20240727,545
0,0,0,1,0,1,0,20240801,20240803,572
0,0,0,1,0,1,0,20240803,20240804,125
0,0,0,1,0,1,0,20240808,20240810,327
0,0,0,1,0,1,0,20240815,20240817,394
0,0,0,1,0,1,1,20240727,20240801,482
0,0,0,1,0,1,1,20240727,20240803,12
0,0,0,1,0,1,1,20240810,20240815,312
0,0,0,1,0,1,1,20240815,20240818,466
0,0,0,1,1,0,0,20240721,20240727,922
0,0,0,1,1,0,0,20240722,20240802,166
0,0,0,1,1,0,0,20240725,20240726,311
0,0,0,1,1,0,0,20240725,20240726,927
0,0,0,1,1,0,0,20240725,20240809,597
0,0,0,1,1,0,0,20240808,20240812,659
0,0,0,1,1,0,0,20240815,20240816,742
0,0,0,1,1,0,1,20240802,20240812,697
0,0,0,1,1,1,0,20240721,20240725,176
0,0,0,1,1,1,0,20240721,20240731,368
0,0,0,1,1,1,0,20240721,20240802,479
0,0,0,1,1,1,0,20240726,20240730,951
0,0,0,1,1,1,0,20240726,20240801,51
0,0,0,1,1,1,0,20240801,20240803,293
0,0,0,1,1,1,0,20240801,20240809,120
0,0,0,1,1,1,0,20240803,20240810,303
0,0,0,1,1,1,0,20240809,20240815,299
0,0,0,1,1,1,0,20240815,20240817,393
0,0,0,1,1,1,1,20240721,20240725,868
0,0,0,1,1,1,1,20240721,20240726,136
